1557374296,789094;1557374296,789239;1557374296,789267;0,000173
1557374297,807417;1557374297,807645;1557374297,807676;0,000259
1557374298,826365;1557374298,826506;1557374298,826535;0,000170
1557374299,851135;1557374299,851261;1557374299,851287;0,000152
1557374300,869935;1557374300,870064;1557374300,870091;0,000156
1557374301,891303;1557374301,891426;1557374301,891453;0,000150
1557374302,914516;1557374302,914653;1557374302,914681;0,000165
1557374303,932287;1557374303,932429;1557374303,932454;0,000167
1557374304,960883;1557374304,961026;1557374304,961057;0,000174
1557374305,982899;1557374305,982997;1557374305,983022;0,000123
1557374307,002580;1557374307,002680;1557374307,002705;0,000125
1557374308,027162;1557374308,027268;1557374308,027297;0,000135
1557374309,044102;1557374309,044232;1557374309,044258;0,000156
1557374310,076441;1557374310,076586;1557374310,076615;0,000174
1557374311,096823;1557374311,096951;1557374311,096976;0,000153
1557374312,118095;1557374312,118225;1557374312,118251;0,000156
1557374313,140435;1557374313,140561;1557374313,140588;0,000153
1557374314,157949;1557374314,158063;1557374314,158094;0,000145
1557374315,176914;1557374315,177029;1557374315,177055;0,000141
1557374316,193513;1557374316,193692;1557374316,193726;0,000213
