1557374296,280551;1557374296,280569;1557374296,280697;1557374296,280721;0,000152
1557374296,288911;1557374296,288929;1557374296,289040;1557374296,289061;0,000132
1557374296,296520;1557374296,296541;1557374296,296646;1557374296,296666;0,000125
1557374296,303861;1557374296,303880;1557374296,303990;1557374296,304012;0,000132
1557374296,311658;1557374296,311674;1557374296,311780;1557374296,311796;0,000122
1557374296,319431;1557374296,319463;1557374296,319592;1557374296,319613;0,000150
1557374296,327027;1557374296,327044;1557374296,327146;1557374296,327163;0,000119
1557374296,334322;1557374296,334340;1557374296,334443;1557374296,334462;0,000122
1557374296,341418;1557374296,341434;1557374296,341553;1557374296,341570;0,000136
1557374296,348443;1557374296,348460;1557374296,348533;1557374296,348553;0,000093
1557374296,355634;1557374296,355650;1557374296,355728;1557374296,355748;0,000098
1557374296,362411;1557374296,362427;1557374296,362500;1557374296,362519;0,000092
1557374296,369507;1557374296,369527;1557374296,369648;1557374296,369684;0,000157
1557374296,377893;1557374296,377909;1557374296,378019;1557374296,378036;0,000127
1557374296,385289;1557374296,385310;1557374296,385468;1557374296,385490;0,000180
1557374296,393512;1557374296,393530;1557374296,393635;1557374296,393654;0,000124
1557374296,400596;1557374296,400615;1557374296,400722;1557374296,400742;0,000127
1557374296,407567;1557374296,407584;1557374296,407687;1557374296,407707;0,000123
1557374296,414338;1557374296,414354;1557374296,414473;1557374296,414492;0,000138
1557374296,421226;1557374296,421241;1557374296,421314;1557374296,421333;0,000092
