1557374296,279764;1557374296,279822;0,000058;1557374296,279823;1557374296,280774;0,000951
1557374296,288228;1557374296,288269;0,000041;1557374296,288270;1557374296,289125;0,000855
1557374296,295897;1557374296,295960;0,000063;1557374296,295961;1557374296,296730;0,000769
1557374296,303228;1557374296,303281;0,000053;1557374296,303282;1557374296,304061;0,000779
1557374296,311014;1557374296,311055;0,000041;1557374296,311056;1557374296,311862;0,000806
1557374296,318669;1557374296,318741;0,000072;1557374296,318742;1557374296,319680;0,000938
1557374296,326416;1557374296,326469;0,000053;1557374296,326471;1557374296,327227;0,000756
1557374296,333683;1557374296,333725;0,000042;1557374296,333726;1557374296,334525;0,000799
1557374296,340810;1557374296,340849;0,000039;1557374296,340850;1557374296,341635;0,000785
1557374296,347845;1557374296,347882;0,000037;1557374296,347883;1557374296,348616;0,000733
1557374296,355025;1557374296,355076;0,000051;1557374296,355077;1557374296,355809;0,000732
1557374296,361828;1557374296,361879;0,000051;1557374296,361881;1557374296,362581;0,000700
1557374296,368850;1557374296,368906;0,000056;1557374296,368910;1557374296,369698;0,000788
1557374296,377321;1557374296,377383;0,000062;1557374296,377384;1557374296,378097;0,000713
1557374296,384659;1557374296,384714;0,000055;1557374296,384716;1557374296,385558;0,000842
1557374296,392901;1557374296,392955;0,000054;1557374296,392957;1557374296,393710;0,000753
1557374296,399996;1557374296,400046;0,000050;1557374296,400048;1557374296,400805;0,000757
1557374296,406987;1557374296,407025;0,000038;1557374296,407027;1557374296,407774;0,000747
1557374296,413776;1557374296,413813;0,000037;1557374296,413815;1557374296,414554;0,000739
1557374296,420640;1557374296,420692;0,000052;1557374296,420693;1557374296,421395;0,000702
