1557374296,788957;1557374296,789040;0,000083;1557374296,789042;1557374296,789318;0,000276
1557374297,807286;1557374297,807370;0,000084;1557374297,807371;1557374297,807721;0,000350
1557374298,826240;1557374298,826313;0,000073;1557374298,826315;1557374298,826589;0,000274
1557374299,851007;1557374299,851087;0,000080;1557374299,851088;1557374299,851336;0,000248
1557374300,869804;1557374300,869887;0,000083;1557374300,869888;1557374300,870141;0,000253
1557374301,891182;1557374301,891258;0,000076;1557374301,891259;1557374301,891502;0,000243
1557374302,914384;1557374302,914465;0,000081;1557374302,914467;1557374302,914735;0,000268
1557374303,932150;1557374303,932238;0,000088;1557374303,932239;1557374303,932503;0,000264
1557374304,960714;1557374304,960829;0,000115;1557374304,960831;1557374304,961111;0,000280
1557374305,982777;1557374305,982853;0,000076;1557374305,982855;1557374305,983068;0,000213
1557374307,002456;1557374307,002533;0,000077;1557374307,002535;1557374307,002754;0,000219
1557374308,027035;1557374308,027114;0,000079;1557374308,027115;1557374308,027345;0,000230
1557374309,043973;1557374309,044057;0,000084;1557374309,044059;1557374309,044301;0,000242
1557374310,076304;1557374310,076389;0,000085;1557374310,076391;1557374310,076649;0,000258
1557374311,096709;1557374311,096775;0,000066;1557374311,096776;1557374311,097025;0,000249
1557374312,117971;1557374312,118049;0,000078;1557374312,118050;1557374312,118329;0,000279
1557374313,140327;1557374313,140392;0,000065;1557374313,140394;1557374313,140638;0,000244
1557374314,157856;1557374314,157918;0,000062;1557374314,157919;1557374314,158108;0,000189
1557374315,176791;1557374315,176867;0,000076;1557374315,176869;1557374315,177118;0,000249
1557374316,193380;1557374316,193458;0,000078;1557374316,193459;1557374316,193774;0,000315
